imputacao,balanceamento,modelo,otimizador,tentativa,f1_cv,parametros
KNN,RandomUnderSampling,Random Forest,Optuna TPE,11,0.7378605079851338,"{""modelo__n_estimators"": 80, ""modelo__max_depth"": 8, ""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 1, ""modelo__max_features"": ""log2"", ""modelo__criterion"": ""gini""}"
MissForest,SMOTE,Árvore de Decisão,Random Search,0,0.7111531119544403,"{""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 10, ""modelo__max_depth"": 6, ""modelo__criterion"": ""gini""}"
MissForest,SMOTE,Árvore de Decisão,Random Search,1,0.7111531119544403,"{""modelo__min_samples_split"": 20, ""modelo__min_samples_leaf"": 10, ""modelo__max_depth"": 6, ""modelo__criterion"": ""gini""}"
MissForest,SMOTE,Árvore de Decisão,Random Search,2,0.7294131216866914,"{""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 5, ""modelo__max_depth"": 3, ""modelo__criterion"": ""gini""}"
MissForest,SMOTE,Árvore de Decisão,Random Search,3,0.7164482565234178,"{""modelo__min_samples_split"": 20, ""modelo__min_samples_leaf"": 5, ""modelo__max_depth"": 8, ""modelo__criterion"": ""gini""}"
MissForest,SMOTE,Árvore de Decisão,Random Search,4,0.7217895982341425,"{""modelo__min_samples_split"": 10, ""modelo__min_samples_leaf"": 2, ""modelo__max_depth"": 5, ""modelo__criterion"": ""gini""}"
MissForest,SMOTE,Árvore de Decisão,Random Search,5,0.718031994197526,"{""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 5, ""modelo__max_depth"": 3, ""modelo__criterion"": ""entropy""}"
MissForest,SMOTE,Árvore de Decisão,Random Search,6,0.731983397647558,"{""modelo__min_samples_split"": 5, ""modelo__min_samples_leaf"": 2, ""modelo__max_depth"": 4, ""modelo__criterion"": ""entropy""}"
MissForest,SMOTE,Árvore de Decisão,Random Search,7,0.7235956129686918,"{""modelo__min_samples_split"": 10, ""modelo__min_samples_leaf"": 10, ""modelo__max_depth"": 3, ""modelo__criterion"": ""gini""}"
MissForest,SMOTE,Árvore de Decisão,Random Search,8,0.7099005211657405,"{""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 5, ""modelo__max_depth"": 6, ""modelo__criterion"": ""gini""}"
MissForest,SMOTE,Árvore de Decisão,Random Search,9,0.6861610768144343,"{""modelo__min_samples_split"": 20, ""modelo__min_samples_leaf"": 10, ""modelo__max_depth"": 6, ""modelo__criterion"": ""entropy""}"
MissForest,SMOTE,Árvore de Decisão,Random Search,10,0.7373719411112652,"{""modelo__min_samples_split"": 10, ""modelo__min_samples_leaf"": 5, ""modelo__max_depth"": 4, ""modelo__criterion"": ""gini""}"
MissForest,SMOTE,Árvore de Decisão,Random Search,11,0.7218786734314685,"{""modelo__min_samples_split"": 10, ""modelo__min_samples_leaf"": 2, ""modelo__max_depth"": 3, ""modelo__criterion"": ""entropy""}"
MissForest,SMOTE,Árvore de Decisão,Optuna TPE,0,0.7218786734314685,"{""modelo__criterion"": ""entropy"", ""modelo__max_depth"": 3, ""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 2}"
MissForest,SMOTE,Árvore de Decisão,Optuna TPE,1,0.7139357223737003,"{""modelo__criterion"": ""entropy"", ""modelo__max_depth"": 8, ""modelo__min_samples_split"": 20, ""modelo__min_samples_leaf"": 2}"
MissForest,SMOTE,Árvore de Decisão,Optuna TPE,2,0.695138310313689,"{""modelo__criterion"": ""gini"", ""modelo__max_depth"": 8, ""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 10}"
MissForest,SMOTE,Árvore de Decisão,Optuna TPE,3,0.7305995787109237,"{""modelo__criterion"": ""entropy"", ""modelo__max_depth"": 4, ""modelo__min_samples_split"": 5, ""modelo__min_samples_leaf"": 10}"
